abraços	abraco
Abril	Abril
abril	abril
acaba	acabar
acção	acao
Acarape	Acarape
Ac<eile	Aceile
aceitamos	aceitar
aceita	aceitar
acompanheis	acompanhar
acompanhado	acompanhar
Aconselhada	Aconselhada
Aconselho	Aconselho
acontecerá	acontecer
administração	administracao
adversários	adversario
advertir	advertir
Advogado	Advogado
affinidade	afinidade
afirmativa	afirmativa
agencia	agencia
agentes	agente
agente	agente
agosto	agosto
Agosto	Agosto
agradecer	agradecer
agradecimentos	agradecimento
AguaA	Aguaa
Aleacar	Aleacar
Alencar	Alencar
Alfaiataria	Alfaiataria
\Alfredo	Alfredo
alheios	alheio
Alíeres	Alieres
alimentação	alimentacao
allivio	alivio
Aloxs	Aloxs
Altaiakiria	Altaiakiria
alterar	alterar
ama	ama
amanhá	amanha
Amarrado	Amarrado
Amazo-	Amazo-
Amazonas	Amazonas
Ameriça	America
amiga	amiga
amigos	amigo
Amigo	Amigo
amigo	amigo
amos	amo
anarchia	anarquia
ando	andar
andou	andar
anemia	anemia
ANNO	Anno
anonymos	anonimos
antecedente	antecedente
Anti-CaUfrhaes	Anti-Caufrhaes
annullar	anular
apertado	apertar
apoio	apoio
Approvadas	Approvadas
apreciador	apreciador
apresentar	apresentar
apresso	apresso
Aprovadas	Aprovadas
ardem	arder
arma	arma
armada	armada
Arra-zonitíe	Arra-Zonitie
artigo	artigo
arvore	arvore
assassinato	assassinato
assignantes	assinantes
assigno	assinar
assistirdes	assistir
associação	associacao
Atado	Atado
atar	atar
attestado	atestado
attesto	atesto
2ATHAR-Jy^	Athar-Jy
atinou	atinar
atonia	atonia
ATTESTAOOS	Attestaoos
Attesto	Attesto
Augusto	Augusto
autoridade	autoridade
autoridades	autoridade
Autoriso-vós	Autoriso-Vos
auxiliar	auxiliar
Avisado	Avisado
aviso	aviso
Aviso	Aviso
AXTICATAHIIES	Axticatahiies
azeite	azeite
base	base
Bastos	Bastos
beliscões	beliscao
beneficio	beneficio
bichos	bicho
bolço	bolco
Borges	Borges
Brasil	Brasil
brios	brio
Brunó	Bruno
cabeça	cabeca
CABEÇA	Cabeca
caixa	caixa
calma	calma
calor	calor
Cantara	Cantara
capai	capar
Capital	Capital
captura	captura
caras	cara
cara	cara
Carlos	Carlos
carpo	carpo
carta	carta
casa	casa
casos	caso
Castro	Castro
causa	causa
causava	causar
cáustico	caustico
Cauuira	Cauuira
Cavalcante	Cavalcante
Cavalcnr	Cavalcnr
cavalheiros	cavalheiro
cavallo	cavalo
Cçsta	Ccsta
Cecrá	Cecra
chefes	chefe
chefe	chefe
chegar	chegar
chegado	chegar
CHRONICA	Chronica
CidnditoCo*oncl	Cidnditocooncl
Ci>n»o>	Cino
circulo	circulo
citado	citar
civil’	civil
clima	clima
Codigo	Codigo
Codigu	Codigu
cofre	cofre
Cohaboração	Cohaboracao
Cojn	Cojn
Coleção	Colecao
colhendo	colher
comarca	comarca
comarcas	comarca
combatendo	combater
começo	comeco
comecei	começar
comprei	comprar
Comprei	Comprei
conceber	conceber
conceito	conceito
concluído	concluir
confiança	confianca
confia	confiar
confirmam	confirmar
conselho	conselho
