abraços	abraco
Abril	Abril
abril	abril
Acarape	Acarape
aceitamos	aceitar
aceita	aceitar
acontecerá	acontecer
adversários	adversario
advertir	advertir
affinidade	afinidade
afirmativa	afirmativa
AguaA	Aguaa
alheios	alheio
Ameriça	America
amigo	amigo
anarchia	anarquia
ANNO	Anno
anonymos	anonimos
annullar	anular
armada	armada
assignantes	assinantes
associação	associacao
Aviso	Aviso
aviso	aviso
AXTICATAHIIES	Axticatahiies
beliscões	beliscao
bolço	bolco
brios	brio
Brunó	Bruno
cara	cara
carpo	carpo
causa	causa
cáustico	caustico
cavalheiros	cavalheiro
chefe	chefe
circulo	circulo
Cohaboração	Cohaboracao
Coleção	Colecao
confiança	confianca
consulta	consulta
continuarem	continuar
convicção	conviccao
cora	corar
coro	coro
côrôa	coroa
coronel	coronel
corpos	corpo
corpo	corpo
corre	correr
credito	credito
crescente	crescente
crimes	crime
crime	crime
criminai)	criminar
critério	criterio
cruz	cruz
culpa	culpa
culpado	culpar
CUNHA	Cunha
Cunha	Cunha
Dara‘0	Dara
decline	declinar
/delicio	deliciar
delicio	deliciar
delicto	delito
‘denota	denotar
depoimentos	depoimento
desespero	desespero
Dessi	Dessi
Deus	Deus
DeÜuxos	Deuuxos
deverá	dever
devia	dever
devolucção	devolucao
discado	discar
dizer	dizer
disse	dizer
digo	dizer
Dizer-se	Dizer-Se
dorme	dormir
duvidando	duvidar
EDITORES	Editores
Efoy	Efoy
(eleição)	eleicao
elemento	elemento
elementos	elemento
elfo	elfo
Emado	Emado
Emi-lihdorhandar	Emi-Lihdorhandar
Emiliano	Emiliano
encontrado	encontrar
encontro	encontro
envenenado	envenenar
enxerga	enxerga
era	era
esperamos	esperar
espirito	espirito
estabelecer	estabelecer
Estado’	Estado
evidencia	evidencia
exigido	exigir
exima	eximir
existência	existencia
ExZè-só	Exze-So
fado	fado
fallava	falar
falta	falta
família	familia
facto	fato
fazer	fazer
feira	feira
FERNANDES	Fernandes
FERRO	Ferro
Ferro	Ferro
fiar	fiar
fiara	fiar
ficarmos	ficar
filho	filho
fluçtuava	flutuar
força	forca
Formosa	Formosa
fosse	fossar
fóssil	fossil
França	Franca
fundo	fundar
Fvrtulezu	Fvrtulezu
genero	genero
gente	gente
gregos	grego
Hade	Hade
hesitação	hesitacao
homens	homem
Homens	Homens
homicídio*^	homicidio
homicídio	homicidio
Hygiuoo	Hygiuoo
Içgál	Icgal
importaria	importar
imprensa	imprensa
indivíduo	individuo
infortúnio	infortunio
inicial	inicial
Inspu-clorh	Inspu-Clorh
intima	intimar
Intransigente	Intransigente
Inulitufo	Inulitufo
Ipudo	Ipudo
Janeiro	Janeiro
Jkvolvem	Jkvolvem
JNão	Jnao
JORNAL	Jornal
jornal	jornal
Jubó	Jubo
julgar	julgar
justiça	justica
Justiça	Justica
lado	lado
lato	latir
laudo	laudo
lei	lei
linha	linha
lógica	logica
luta	luta
luz	luz
manda	manda
mão	mao
mãos	mao
massas	massa
medico	medico
mentira	mentira
mentiroso	mentiroso
militarismo	militarismo
mossa	mossa
Mqjece	Mqjece
multidão	multidao
multidões	multidao
mutilado	mutilado
nomes	nome
novidade	novidade
numero	numero
obriga	obriga
olhos	olho
opinando	opinar
opinião	opiniao
Opiniões	Opinioes
originaes	originais
ouvido	ouvido
paióis	paiol
paiz	pais
palavras	palavra
parecer	parecer
parece	parecer
partidos	partido
PARTIDOS-	Partidos-
passou	passar
peça	peca
pedindo	pedir
pena	pena
pergunta	pergunta
peruo	peruar
pessoa	pessoa
PIihrmncculico	Piihrmncculico
plebiscitaria	plebiscitar
plebiscitos	plebiscito
Politica	Politica
politica	politica
POLÍTICO	Politico
políticos	politico
Pompêo	Pompeo
presenciado	presenciar
pretender	pretender
prevalecer	prevalecer
processo	processo
procura	procura
produsir	produzir
professamos	professar
profissional	profissional
Propriedade	Propriedade
provas	prova
prova	prova
publicações	publicacao
publica	publicar
quadra	quadra
quartas	quarta
Queremos	Queremos
recado	recado
receberam	receber
Redcm-pçâo	Redcm-Pcao
réis	rei
Reluiorío	Reluiorio
republica	republica
restantes	restante
Rio	Rio
riscos	risco
Rou>jtíid	Roujtiid
RtbtlJtí	Rtbtljti
sabbados	sabado
S]ácidio	Sacidio
sahido	sair
sangria	sangria
sangue	sangue
Secrc-	Secrc-
secretario	secretario
segui	seguir
seguros	seguro
semelhante	semelhante
sentidos	sentido
serão	serao
servis	servir
Snnilariu	Snnilariu
sobreTudò	sobretudo
social	social
Sólidos	Solidos
subscrever	subscrever
subscripção	subscricao
subsistir	subsistir
substancio^»	substanciar
substituir	substituir
substitua	substituir
suicida	suicida
Suicídio	Suicidio
suicídio	suicidio
supposto	suposto
suspeitas	suspeita
tarefa	tarefa
TAVORA	Tavora
taxa	taxa
telegraphada	telegrafada
tempo	tempo
tempos	tempo
Tendo	Tendo
Terla	Terla
termo	termo
tinha	tinha
tirada	tirada
Tosus	Tosus
‘Tou^ijLçgo	Touijlcgo
Traga	Traga
tratando	tratar
tratar	tratar
t^ria	triar
troyanos	troianos
ultimo	ultimo
unidade	unidade
Unitário	Unitario
UNITÁRIO	Unitario
Urti	Urti
valia	valia
valor	valor
veias	veia
verdade	verdade
vestigios	vestigio
vezos	vezo
VifOll*	Vifoll
vista	vista
visto	visto
victima	vitima
volta	voltar
vontade	vontade
